Adrenergic syndrome	C0274714
Keeps me up all night	C0917801
Sleeplessness	C0917801
withdrawals	C0087169
Withdrawal Symptoms	C0087169
random shoulder spasms	C0151911
Generalized Spasms	C0151911
Sedated state	C0235195
Memory Loss	C0751295
withdrawals	C0152128
Drug withdrawal syndrome	C0152128
get my shoulder right	C0037011
Shoulder Pain	C0037011
hypomanic	C0424295
Hyperactive behavior	C0424295
#mentalhealth	C0004936
Mental disorders	C0004936
ADHD	C1263846
Attention deficit hyperactivity disorder	C1263846
I have 30 things I need to do by 5:00	C0455769
Energy increased	C0455769
withdrawal	C0087169
Withdrawal Symptoms	C0087169
make me sleepy	C2830004
Somnolence	C2830004
Anxiety attack	C0700031
grumpy	C0022107
Irritable Mood	C0022107
anxiety	C0003467
Anxiety	C0003467
feel like you aren't a human anymore	C0011551
Depersonalization	C0011551
wide awake	C0043012
Wakefulness	C0043012
running up and down the stairs	C0424295
Hyperactive behavior	C0424295
in my feelings	C0235169
Excitability	C0235169
fainting	C0041657
Unconscious State	C0041657
gut pain	C0151767
Liver tenderness	C0151767
got me to the ceiling	C0235169
Excitability	C0235169
to do stuff	C0600104
Obsessive compulsive behavior	C0600104
drowsy	C0013144
Drowsiness	C0013144
suppressed appetite	C1971624
Loss of appetite (finding)	C1971624
hyperactive	C0424295
Hyperactive behavior	C0424295
rage	C0002957
Anger	C0002957
had me in my feelings	C2939186
Disturbance in mood	C2939186
Stops your breathing	C0553668
Labored breathing	C0553668
groggy	C2830004
Somnolence	C2830004
migraines	C0235890
Migraine aggravated	C0235890
Pain localised	C0520962
Coming down	C0087169
Withdrawal Symptoms	C0087169
addiction	C0556446
Drug craving	C0556446
Anger	C0002957
Anger	C0002957
pain	C0520962
Pain localised	C0520962
actually ecstasy	C0235146
Euphoric mood	C0235146
have no emotions	C0085632
Indifferent mood	C0085632
awake approx 36-38 hours	C0917801
Sleeplessness	C0917801
this mindset	C0278061
Abnormal mental state	C0278061
nauseous feeling	C0027497
Nausea	C0027497
insomniac	C0393760
Initial insomnia	C0393760
got me to the ceiling	C0455769
Energy increased	C0455769
about to lose my mind	C0278061
Abnormal mental state	C0278061
fucked up	C0424295
Hyperactive behavior	C0424295
got me on the ceiling	C0455769
Energy increased	C0455769
sleepy	C0013144
Drowsiness	C0013144
ballooning	C1291077
Abdominal bloating	C1291077
I'm up	C0541798
Early Awakening	C0541798
wide awake	C0043012
Wakefulness	C0043012
sleep the day away	C0542476
Forgetfulness	C0542476
sleep	C0917799
Hypersomnia	C0917799
wrecking my sleep	C1262141
Poor quality sleep	C1262141
feel great	C0233479
Elevated mood	C0233479
the most socially awkward person alive	C0424166
Social fear	C0424166
man vivid dreams	C0344320
Vivid dreams	C0344320
Attention Deficit Disorder	C0041671
I forgot to take Zoloft for like 2 days and now I'm getting brain zaps	C0152128
Drug withdrawal syndrome	C0152128
withdrawal	C0087169
Withdrawal Symptoms	C0087169
accidentally double dosed	C0151821
Accidental overdose	C0151821
Withdrawal Symptoms	C0087169
so dramatic	C0085633
Mood swings	C0085633
drowsy	C2830004
Somnolence	C2830004
super twitchy	C0231530
Muscle twitch	C0231530
vomity	C0027497
Nausea	C0027497
feeling like shit	C1443060
Feeling abnormal	C1443060
wake you up	C0043012
Wakefulness	C0043012
Labored breathing	C0553668
nightmares	C0028084
Nightmares	C0028084
exhausted	C0392674
Exhaustion	C0392674
Ache	C0234238
nauseous	C0027497
Nausea	C0027497
hungover	C0018681
Headache	C0018681
headaches	C0018681
Headache	C0018681
don't hunger or thirst	C0232462
Decrease in appetite	C0232462
slows me down	C0013144
Drowsiness	C0013144
awake in the middle of the night	C0393761
Middle insomnia	C0393761
it's feeling like the same thing	C0085632
Indifferent mood	C0085632
lost their appetite	C1971624
Loss of appetite (finding)	C1971624
got me to the ceiling	C0455769
Energy increased	C0455769
gain more weight	C0043094
Weight Gain	C0043094
panic attacks	C0086769
Panic Attacks	C0086769
fall asleep	C0015672
Fatigue	C0015672
bipolar	C0005586
Bipolar Disorder	C0005586
makes me an asshole	C0022107
Irritable Mood	C0022107
an adderall crash	C0087169
Withdrawal Symptoms	C0087169
itchy rash	C0497364
Localized rash	C0497364
trippin	C0278061
Abnormal mental state	C0278061
like a caffeine overdose	C0455769
Energy increased	C0455769
terrified to fall asleep	C0917801
Sleeplessness	C0917801
withdrawal	C0087169
Withdrawal Symptoms	C0087169
a damn zombie	C0028643
Numbness	C0028643
hangover	C0221100
Hangover from any Alcohol or Other Drugs substance	C0221100
I was up at 6 am	C0917801
Sleeplessness	C0917801
tingling	C2242996
Has tingling sensation	C2242996
cramps	C0000737
Abdominal Pain	C0000737
makes me a different person	C0240735
Personality change	C0240735
come down	C0087169
Withdrawal Symptoms	C0087169
anxiety	C0003467
Anxiety	C0003467
Withdrawal Symptoms	C0087169
withdrawal symptoms	C0087169
Withdrawal Symptoms	C0087169
panic attack	C0086769
Panic Attacks	C0086769
ADD	C0041671
Attention Deficit Disorder	C0041671
feel like a malnourished toe	C1443060
Feeling abnormal	C1443060
Depersonalization	C0011551
tremor	C0234376
Action Tremor	C0234376
paralyzed	C0522224
Paralysed	C0522224
I'm wide awake once again after 1:00 a.m	C0917801
Sleeplessness	C0917801
fatigue	C0015672
Fatigue	C0015672
angry 2 irritable 2 mind swimming 2 feeling numb 2 being completely calm	C0085633
Mood swings	C0085633
gained over 50 pounds	C0043094
Weight Gain	C0043094
weight gain	C0043094
Weight Gain	C0043094
nausea	C0027497
Nausea	C0027497
Feeling abnormal	C1443060
been this awake	C0043012
Wakefulness	C0043012
allergic	C0851444
Allergic conditions	C0851444
anxious	C0003467
Anxiety	C0003467
got me to the ceiling	C0235169
Excitability	C0235169
got me to the ceiling	C0455769
Energy increased	C0455769
I take an hour nap right away	C2830004
Somnolence	C2830004
gulp air randomly	C0004096
Asthma	C0004096
feeling like the same day	C0018524
Hallucinations	C0018524
low libido	C0855242
Disturbance in sexual arousal	C0855242
bone loss	C0029445
Bone necrosis	C0029445
Rage	C0034634
Rage	C0034634
jammed	C0728899
Intoxication	C0728899
Dizziness	C0012833
withdrawal	C0087169
Withdrawal Symptoms	C0087169
lightheaded	C0220870
Lightheadedness	C0220870
insomnia	C0917801
Sleeplessness	C0917801
faint	C0220870
Lightheadedness	C0220870
bummed	C0344315
Depressed mood	C0344315
heart attack	C0018790
Cardiac Arrest	C0018790
appetite on 10	C0232461
Increased appetite (finding)	C0232461
dizzy	C0220870
Lightheadedness	C0220870
heart beat for being too strong	C0235240
Pounding heart	C0235240
i can't even stay awake	C2830004
Somnolence	C2830004
cough	C0010200
Coughing	C0010200
uncontrollable	C0424295
Hyperactive behavior	C0424295
jacked up	C0455769
Energy increased	C0455769
weight gain	C0043094
Weight Gain	C0043094
pain	C0026858
Musculoskeletal Pain	C0026858
thinking it was 8pm	C0917801
Sleeplessness	C0917801
cysts	C0010709
Cyst	C0010709
Atypical facial pain	C0015468
Facial Pain	C0015468
just want to finally be happy	C1386135
Acute depression	C1386135
panic attack	C0086769
Panic Attacks	C0086769
kills libido	C0855242
Disturbance in sexual arousal	C0855242
groggy	C2830004
Somnolence	C2830004
tired	C0015672
Fatigue	C0015672
heart attack	C0018790
Cardiac Arrest	C0018790
blurted out every answer	C0233715
Speech impairment	C0233715
makes me a different person	C0011551
Depersonalization	C0011551
nausea	C0027497
Nausea	C0027497
manic episode	C0235165
Mania acute	C0235165
about to lose my mind	C2939186
Disturbance in mood	C2939186
bazaar thoughts	C0278061
Abnormal mental state	C0278061
drowsy	C0013144
Drowsiness	C0013144
So sleepy	C2830004
Somnolence	C2830004
brain zaps	C0037763
Spasm	C0037763
wicked weird dreams	C0234458
Abnormal dreams	C0234458
vertigo	C0042571
Vertigo	C0042571
dry	C0235234
Dry throat	C0235234
kills libido	C0855242
Disturbance in sexual arousal	C0855242
gas	C0016204
Flatulence	C0016204
meinmy feelings	C0235169
Excitability	C0235169
30-day adderall supply lasts me like a week	C0013146
Drug abuse	C0013146
double downed	C0013146
Drug abuse	C0013146
plague	C0021400
Influenza	C0021400
walking up and down broad	C0424295
Hyperactive behavior	C0424295
gained 7 lbs	C0043094
Weight Gain	C0043094
a literal panic attack	C0086769
Panic Attacks	C0086769
paranoid	C1456784
Paranoia	C1456784
different person	C0278061
Abnormal mental state	C0278061
shaking	C0234369
Trembling	C0234369
can't feel limbs	C0028643
Numbness	C0028643
hyper	C0424295
Hyperactive behavior	C0424295
nervous gut pain	C0000737
Abdominal Pain	C0000737
Not sure Im going to be willing to go for a week feeling like this	C0235196
Suicidal tendency	C0235196
fainting	C0039070
Syncope	C0039070
vomity	C0042963
Vomiting	C0042963
BP-2	C0236788
Bipolar II disorder	C0236788
mood swings	C0085633
Mood swings	C0085633
Prednisone munchies	C0596170
Binge eating disorder	C0596170
inattentive	C0235198
Unable to concentrate	C0235198
depression	C0270458
Psychotic depression	C0270458
sleepy	C0013144
Drowsiness	C0013144
My knee has gotten all swollen	C0853619
Local swelling	C0853619
pretty terrible side effects	C1443060
Feeling abnormal	C1443060
painful erection	C0239725
Genital pain	C0239725
eat like the literal beast	C0232461
Increased appetite (finding)	C0232461
dick been limp all day	C0242350
Erectile dysfunction	C0242350
gaining weight	C0043094
Weight Gain	C0043094
bug bites	C0853348
Arthropod bite	C0853348
gain weight	C0043094
Weight Gain	C0043094
Intoxication	C0728899
sertraline withdrawal	C0087169
Withdrawal Symptoms	C0087169
feeling better	C0233479
Elevated mood	C0233479
suicidal acts	C0038661
Suicide	C0038661
got me like WHENS THE NEXT TEST ILL GO AHEAD AND TAKE IT NOW	C0338831
Manic	C0338831
suicide thoughts	C1269683
Major Depressive Disorder	C1269683
reliant	C1510472
Drug Dependence	C1510472
nauseous	C0027497
Nausea	C0027497
bi polar	C0005586
Bipolar Disorder	C0005586
hurt	C0008031
Chest Pain	C0008031
sneezing	C0037383
Sneezing	C0037383
Stomach messed up	C0235309
Upset stomach	C0235309
ankle hurts	C0016512
Foot pain	C0016512
lightheaded	C0012833
Dizziness	C0012833
get too skinny	C0043096
Body Weight decreased	C0043096
eaten less	C0232462
Decrease in appetite	C0232462
feeling awful	C0233488
Feeling despair	C0233488
tired	C2830004
Somnolence	C2830004
depression/anxiety	C0338908
Anxiety depression	C0338908
heart race 100mph	C0030252
Palpitations	C0030252
allergic reaction	C0851444
Allergic conditions	C0851444
mood swings	C0085633
Mood swings	C0085633
falling asleep	C2830004
Somnolence	C2830004
nauseous	C0027497
Nausea	C0027497
withdrawal	C0087169
Withdrawal Symptoms	C0087169
trippin	C0278061
Abnormal mental state	C0278061
making me insane	C2939186
Disturbance in mood	C2939186
inattentive	C0041671
Attention Deficit Disorder	C0041671
dizziness	C0220870
Lightheadedness	C0220870
can't even keep you awake	C0917801
Sleeplessness	C0917801
#sleep	C2830004
Somnolence	C2830004
urticaria	C0042109
Urticaria	C0042109
I am falling asleep	C0013144
Drowsiness	C0013144
hungry	C0020175
Hunger	C0020175
trippin	C0728899
Intoxication	C0728899
stiffness	C0427008
Stiffness	C0427008
makes you want to do stuff	C0600104
Obsessive compulsive behavior	C0600104
reduced sweating	C0553721
Sweating decreased	C0553721
depressive emotins and thoughts	C0011570
Mental Depression	C0011570
suicidal acts	C1760428
Suicidal behaviour	C1760428
faint	C0039070
Syncope	C0039070
rage	C0002957
Anger	C0002957
FUCKED UP feelings	C2939186
Disturbance in mood	C2939186
Irritable Mood	C0022107
pain	C0030193
Pain	C0030193
to the ceiling	C0235169
Excitability	C0235169
odramatic	C0085633
Mood swings	C0085633
lucid dreamer	C0344320
Vivid dreams	C0344320
Swelling face	C0151602
distracted	C0233415
Distractibility	C0233415
withdrawals	C0087169
Withdrawal Symptoms	C0087169
rage	C0034634
Rage	C0034634
had me in my feelings	C2939186
Disturbance in mood	C2939186
tired	C2830004
Somnolence	C2830004
got me to the ceiling	C0455769
Energy increased	C0455769
wide awake	C0455769
Energy increased	C0455769
probs with my liver	C0151763
Liver damage	C0151763
nauseous	C0027497
Nausea	C0027497
mouth taste terrible	C0541799
Bad taste	C0541799
trouble sleeping	C0037317
Sleep disturbances	C0037317
jitters	C0549209
Feeling jittery	C0549209
trying to get tired	C0917801
Sleeplessness	C0917801
hated my life	C1386135
Acute depression	C1386135
Tremor	C0040822
dizzy	C0012833
Dizziness	C0012833
wide awake	C0043012
Wakefulness	C0043012
got me to the ceiling	C0455769
Energy increased	C0455769
suicidal thoughts	C0235196
Suicidal tendency	C0235196
kidneys shut down	C0035078
Kidney Failure	C0035078
useless without	C0278079
Dependence psychological	C0278079
Forgetfulness	C0542476
sleep deprivation	C0392674
Exhaustion	C0392674
waking me up	C0037317
Sleep disturbances	C0037317
Somnolence	C2830004
got me to the ceiling	C0235169
Excitability	C0235169
pimples	C0497364
Localized rash	C0497364
cramps	C0026821
Muscle Cramp	C0026821
insomnia	C0917801
Sleeplessness	C0917801
drowsy	C0013144
Drowsiness	C0013144
empty/hopeless	C0086132
Depressive Symptoms	C0086132
makes my road rage terrible	C0034634
Rage	C0034634
Somnolence	C2830004
irrational rage	C0034634
Rage	C0034634
numb	C0028643
Numbness	C0028643
hyper	C0424295
Hyperactive behavior	C0424295
withdrawal	C0087169
Withdrawal Symptoms	C0087169
Elevated mood	C0233479
Allergic conditions	C0851444
i'm going to pass out	C0041657
Unconscious State	C0041657
mood changes	C0085633
Mood swings	C0085633
gain 10kg	C0043094
Weight Gain	C0043094
insomnia	C0393761
Middle insomnia	C0393761
fatigue	C2830004
Somnolence	C2830004
woozy	C0012833
Dizziness	C0012833
knee cap is moving around, causing pain	C0409497
Joint injury	C0409497
wide awake	C0043012
Wakefulness	C0043012
sour mood	C0022107
Irritable Mood	C0022107
lose weight	C0043094
Weight Gain	C0043094
sleep	C0037317
Sleep disturbances	C0037317
munchies	C0232461
Increased appetite (finding)	C0232461
Drowsiness	C0013144
drowsy	C0013144
Drowsiness	C0013144
Fracture	C0016658
me feel disgusting	C0338908
Anxiety depression	C0338908
had me in my feelings	C2939186
Disturbance in mood	C2939186
still haven't slept	C0043012
Wakefulness	C0043012
If I could lose the 30lbs that I gained from prednisone	C0043094
Weight Gain	C0043094
coming down	C0087169
Withdrawal Symptoms	C0087169
highly irritated	C0022107
Irritable Mood	C0022107
hives	C0036973
Shivering	C0036973
need space &amp; to be alone	C0233523
Antisocial behavior	C0233523
different person	C0278061
Abnormal mental state	C0278061
crazy	C0033975
Psychotic Disorders	C0033975
Allergic conditions	C0851444
insomnia	C0917801
Sleeplessness	C0917801
got me to the ceiling	C0455769
Energy increased	C0455769
appetite way up	C0232461
Increased appetite (finding)	C0232461
hungry	C0020175
Hunger	C0020175
paranoid	C1456784
Paranoia	C1456784
swelling	C0038999
Swelling	C0038999
Sleeplessness	C0917801
withdrawal	C0087169
Withdrawal Symptoms	C0087169
headache	C0018681
Headache	C0018681
emotional fasting	C0233459
Emotional disorder	C0233459
I am so sick and angry	C0270458
Psychotic depression	C0270458
got me in my feelings	C2939186
Disturbance in mood	C2939186
allergic	C0162820
Dermatitis, Allergic Contact	C0162820
Irritable Mood	C0022107
bone pain	C0151825
Bone pain	C0151825
Depressed mood	C0344315
messing with my vision	C3665386
Abnormal vision	C3665386
#withdrawals	C0087169
Withdrawal Symptoms	C0087169
drowsy	C0013144
Drowsiness	C0013144
sneezing	C0037383
Sneezing	C0037383
hurting so bad	C0030193
Pain	C0030193
disassociation	C0011551
Depersonalization	C0011551
high	C0235146
Euphoric mood	C0235146
immune	C0151810
Lack of drug effect	C0151810
Anxiety	C0003467
alertness and trouble sleeping	C0917801
Sleeplessness	C0917801
dry heaving	C0232602
Retching	C0232602
in my feelings	C0235169
Excitability	C0235169
insane	C0004936
Mental disorders	C0004936
rash	C0497365
Rash generalised	C0497365
entire arm feel paralyzed	C0522224
Paralysed	C0522224
RHEUMATOID ARTHRITIS	C0003873
Rheumatoid Arthritis	C0003873
lost so much weight	C0043096
Body Weight decreased	C0043096
zombie like state	C0541854
Daytime sleepiness	C0541854
puking everywhere	C0042963
Vomiting	C0042963
I'm still awake	C0917801
Sleeplessness	C0917801
bipolar	C0005586
Bipolar Disorder	C0005586
the rash	C0497364
Localized rash	C0497364
become immune	C0151810
Lack of drug effect	C0151810
100% awake all the time	C0043012
Wakefulness	C0043012
anxiety	C0003467
Anxiety	C0003467
Decreased interest	C0424091
hit me too hard	C0013146
Drug abuse	C0013146
I'm going to be so pissed if this ends with me getting my adderall prescription taken away...	C1510472
Drug Dependence	C1510472
wired	C0234428
Consciousness abnormal	C0234428
numbness	C0028643
Numbness	C0028643
Pain	C0030193
pain	C0030193
Pain	C0030193
annoying	C1263846
Attention deficit hyperactivity disorder	C1263846
swelled	C0038999
Swelling	C0038999
fatigue	C0013144
Drowsiness	C0013144
Wrist wrist stop hurting	C0239377
Arm Pain	C0239377
lose my appetite	C0232462
Decrease in appetite	C0232462
seroquel withdrawal	C0087169
Withdrawal Symptoms	C0087169
concentration issues	C0858899
Attention concentration difficulty	C0858899
had me in my feelings	C2939186
Disturbance in mood	C2939186
Anger	C0002957
Anger	C0002957
functional obstructions	C0021843
Intestinal Obstruction	C0021843
Anxiety	C0003467
Anxiety	C0003467
rash	C0497364
Localized rash	C0497364
awake	C0917801
Sleeplessness	C0917801
got me to the ceiling	C0235169
Excitability	C0235169
hurt his shoulder	C0037011
Shoulder Pain	C0037011
Social fear	C0424166
behaviour problems	C0233514
Abnormal behavior	C0233514
nightmares	C0028084
Nightmares	C0028084
CRAZY	C0278061
Abnormal mental state	C0278061
makes me sleepy	C0851578
Sleep Disorders	C0851578
Pain localised	C0520962
insomnia	C0917801
Sleeplessness	C0917801
distracted	C0041671
Attention Deficit Disorder	C0041671
gag	C0016927
Gagging	C0016927
despair	C0233488
Feeling despair	C0233488
got me to the ceiling	C0235169
Excitability	C0235169
heart palpitations	C0018808
Heart murmur	C0018808
not sleeping	C0917801
Sleeplessness	C0917801
withdrawal	C0152128
Drug withdrawal syndrome	C0152128
apathy	C0085632
Indifferent mood	C0085632
focusing monster	C0234428
Consciousness abnormal	C0234428
have to poop	C0011991
Diarrhea	C0011991
Somnolence	C2830004
pain	C0030193
Pain	C0030193
a general discomfort from swelling	C0038999
Swelling	C0038999
not sleeping	C0917801
Sleeplessness	C0917801
brain zaps	C0040822
Tremor	C0040822
weight loss	C0043096
Body Weight decreased	C0043096
grumpy	C0022107
Irritable Mood	C0022107
attitude	C0022107
Irritable Mood	C0022107
sleepy	C0013144
Drowsiness	C0013144
panic attacks	C0086769
Panic Attacks	C0086769
not hungry	C1971624
Loss of appetite (finding)	C1971624
Stops your breathing	C0476273
Respiratory distress	C0476273
when ur eyes have never been wider	C0424295
Hyperactive behavior	C0424295
face twitch	C0231530
Muscle twitch	C0231530
zombie	C0015672
Fatigue	C0015672
#fuckyoudepression	C0011570
Mental Depression	C0011570
sweat	C0600142
Hot flushes	C0600142
feeling worried	C0003467
Anxiety	C0003467
hyper	C0424295
Hyperactive behavior	C0424295
hungry/thirsty	C0232461
Increased appetite (finding)	C0232461
dizziness	C0012833
Dizziness	C0012833
hurts your nostrils	C0030193
Pain	C0030193
anxiety	C0030319
Panic Disorder	C0030319
allergic reaction	C0013182
Drug Allergy	C0013182
Depressed mood	C0344315
eating to survive	C1971624
Loss of appetite (finding)	C1971624
withdrawal	C0087169
Withdrawal Symptoms	C0087169
feel like I have super powers	C1443060
Feeling abnormal	C1443060
incredibly anal	C0600104
Obsessive compulsive behavior	C0600104
to speed up my hear	C0030252
Palpitations	C0030252
chronic pain	C0150055
Chronic pain	C0150055
Initial insomnia	C0393760
Pinched nerve still tingling	C0161479
Nerve injury	C0161479
brain fart	C0037763
Spasm	C0037763
Emotional disorder	C0233459
brain zaps	C0037763
Spasm	C0037763
pain	C1611174
Post-traumatic pain	C1611174
not eating	C0003123
Anorexia	C0003123
hyperactive	C1263846
Attention deficit hyperactivity disorder	C1263846
scared	C0424166
Social fear	C0424166
I haven't eaten in 3 days	C0003123
Anorexia	C0003123
nightmares	C0028084
Nightmares	C0028084
had me in my feelings	C2939186
Disturbance in mood	C2939186
can't even keep you awake	C0917801
Sleeplessness	C0917801
sickness	C0027497
Nausea	C0027497
like	C0424295
Hyperactive behavior	C0424295
shaking	C0036973
Shivering	C0036973
nausea	C0027497
Nausea	C0027497
grumpy	C0022107
Irritable Mood	C0022107
itches	C0042256
Vaginal itching	C0042256
wiggling	C0427086
Involuntary Movements	C0427086
#anxiety	C0003467
Anxiety	C0003467
got me to the ceiling	C0455769
Energy increased	C0455769
makes you feel like crap	C0344315
Depressed mood	C0344315
actually went ok my hands and knees trying to find a half	C0556446
Drug craving	C0556446
Drug withdrawal syndrome	C0152128
makes your body awake	C0455769
Energy increased	C0455769
had me in my feelings	C0235169
Excitability	C0235169
knocked me on my ass last night	C2830004
Somnolence	C2830004
tremor	C0040822
Tremor	C0040822
vomit	C0042963
Vomiting	C0042963
psychosis	C0281774
Acute psychosis	C0281774
dizzy	C0012833
Dizziness	C0012833
feeling very different	C1443060
Feeling abnormal	C1443060
lower extremities swelling up	C0853619
Local swelling	C0853619
false high	C0235146
Euphoric mood	C0235146
racing heart	C0235240
Pounding heart	C0235240
Headache	C0018681
VOLATILE	C0085633
Mood swings	C0085633
wiggling so much.	C0026838
Muscle Spasticity	C0026838
withdrawal	C0087169
Withdrawal Symptoms	C0087169
focusing monster	C0234428
Consciousness abnormal	C0234428
blurry vision	C0344232
Blurred vision	C0344232
feel like shit	C0344315
Depressed mood	C0344315
Weight Gain	C0043094
cramps	C0026821
Muscle Cramp	C0026821
neat freak mode	C1704373
Compulsive Personality Disorder	C1704373
face twitch	C0231530
Muscle twitch	C0231530
sleepy	C0013144
Drowsiness	C0013144
bulimic	C2267227
Bulimia Nervosa	C2267227
ankle hurts	C0016512
Foot pain	C0016512
won't sleep	C0393760
Initial insomnia	C0393760
tremor	C0234376
Action Tremor	C0234376
Irritable Mood	C0022107
insomnia	C0917801
Sleeplessness	C0917801
Losing weight	C0043096
Body Weight decreased	C0043096
nightmares	C0028084
Nightmares	C0028084
depression	C1386135
Acute depression	C1386135
Addicted	C0013146
Drug abuse	C0013146
fucked my entire sleeping pattern	C0037317
Sleep disturbances	C0037317
sleepy	C0013144
Drowsiness	C0013144
monster	C0034634
Rage	C0034634
shaking her leg	C0427086
Involuntary Movements	C0427086
Crying abnormal	C0235939
be a fucking bitch	C0022107
Irritable Mood	C0022107
anxiety	C0003467
Anxiety	C0003467
setting timers reminding me to eat every 30 minutes	C0233514
Abnormal behavior	C0233514
Atypical facial pain	C0015468
Facial Pain	C0015468
sweatty	C0038990
Sweating	C0038990
heart race 100mph	C0235240
Pounding heart	C0235240
knocked me out	C0041657
Unconscious State	C0041657
shitty	C0344315
Depressed mood	C0344315
make me drunker	C0687133
Drug Interactions	C0687133
10+lbs in two weeks	C0043094
Weight Gain	C0043094
dizziness	C0012833
Dizziness	C0012833
feel like	C0344315
Depressed mood	C0344315
insomnia	C0917801
Sleeplessness	C0917801
feel like doing something	C0424295
Hyperactive behavior	C0424295
Rash	C0497364
Localized rash	C0497364
dry heaving	C0027497
Nausea	C0027497
paranoid	C1456784
Paranoia	C1456784
erectile dysfunction	C0242350
Erectile dysfunction	C0242350
confused	C0009676
Confusion	C0009676
ADD	C0041671
Attention Deficit Disorder	C0041671
itchy	C0152030
Skin irritation	C0152030
Sleep disturbances	C0037317
dizziness	C0012833
Dizziness	C0012833
wide awake	C0917801
Sleeplessness	C0917801
depressed	C0344315
Depressed mood	C0344315
falling asleep	C2830004
Somnolence	C2830004
anxiety	C0030319
Panic Disorder	C0030319
was up for 4 days	C0917801
Sleeplessness	C0917801
face is swollen	C0151602
Swelling face	C0151602
gained over 50 pounds	C0043094
Weight Gain	C0043094
Fatigue	C0015672
couldn't taste anything	C2364111
Actual Inability To Taste	C2364111
stupid brain	C0278061
Abnormal mental state	C0278061
knock you out	C0851578
Sleep Disorders	C0851578
awake	C0917801
Sleeplessness	C0917801
dizzy	C0012833
Dizziness	C0012833
Miss your Prozac dose	C0011570
Mental Depression	C0011570
absolutely uncontrollable	C0233514
Abnormal behavior	C0233514
up all night	C0393761
Middle insomnia	C0393761
pookied out	C0221100
Hangover from any Alcohol or Other Drugs substance	C0221100
bitch	C2939186
Disturbance in mood	C2939186
eyes burn	C0314719
Dryness of eye	C0314719
sleepy	C2830004
Somnolence	C2830004
Got 1.5 hours of sleep	C0037317
Sleep disturbances	C0037317
more social	C0233479
Elevated mood	C0233479
got meto the ceiling	C0455769
Energy increased	C0455769
Sleeplessness	C0917801
Drug withdrawal syndrome	C0152128
thins the skin	C0423757
Skin thinness	C0423757
break out in hives	C0497364
Localized rash	C0497364
hurts!	C0030193
Pain	C0030193
hypomania	C0241934
Hypomania	C0241934
mosquito bites	C0853348
Arthropod bite	C0853348
did nothing for me, I always ate on it like crazy	C0242785
Food-Drug Interactions	C0242785
chiggers bites	C0003044
Animal bite	C0003044
RHEUMATOID ARTHRITIS	C0003873
Rheumatoid Arthritis	C0003873
fall asleep	C2830004
Somnolence	C2830004
lost 6 inches	C0043096
Body Weight decreased	C0043096
Wet Hot	C0015967
Fever	C0015967
got me to the ceiling	C0455769
Energy increased	C0455769
withdrawal brain zaps	C0152128
Drug withdrawal syndrome	C0152128
falling asleep	C2830004
Somnolence	C2830004
got me to the ceiling	C0455769
Energy increased	C0455769
wide awake yet again past 1:00 a.m	C0917801
Sleeplessness	C0917801
got me to the ceiling	C0455769
Energy increased	C0455769
confused	C0009676
Confusion	C0009676
#insomnia	C0917801
Sleeplessness	C0917801
zombie	C0917801
Sleeplessness	C0917801
ulcers	C0010709
Cyst	C0010709
Emotional disorder	C0233459
losing my mind	C0043012
Wakefulness	C0043012
knock you out	C0041657
Unconscious State	C0041657
heart attack	C0018790
Cardiac Arrest	C0018790
I lost 10 lbs in a day from not eating	C0043096
Body Weight decreased	C0043096
ridiculously hungry	C0020175
Hunger	C0020175
suicide thoughts	C0235196
Suicidal tendency	C0235196
Somnolence	C2830004
pain	C0030193
Pain	C0030193
Hyperactive behavior	C0424295
wrist	C0221785
Ache wrists	C0221785
awful feeling in my stomach	C0235309
Upset stomach	C0235309
intense apathy	C0424091
Decreased interest	C0424091
pain	C0030193
Pain	C0030193
panic attacks	C0700031
Anxiety attack	C0700031
turns me into a zombie	C0013144
Drowsiness	C0013144
#bipolar	C0005586
Bipolar Disorder	C0005586
not being able to eat	C0232462
Decrease in appetite	C0232462
dizziness	C0012833
Dizziness	C0012833
light will go out of my eyes soon	C0013144
Drowsiness	C0013144
trippin	C0728899
Intoxication	C0728899
had me in my feelings	C2939186
Disturbance in mood	C2939186
insane and crazy af dreams	C0234458
Abnormal dreams	C0234458
nauseous	C0027497
Nausea	C0027497
I almost pass out from not eating	C0039070
Syncope	C0039070
insomniac	C0393760
Initial insomnia	C0393760
blood pressure thing	C1268766
Blood pressure alteration (finding)	C1268766
making me fat	C0043094
Weight Gain	C0043094
reliant	C1510472
Drug Dependence	C1510472
migraine	C0149931
Migraine Disorders	C0149931
addicted	C0524662
Opiate Addiction	C0524662
Inflamed bursa	C0006444
Bursitis	C0006444
talk so fast	C0233715
Speech impairment	C0233715
distracted	C0233415
Distractibility	C0233415
dry skin	C0151908
Dry skin	C0151908
drowsy	C2830004
Somnolence	C2830004
got me to the ceiling	C0455769
Energy increased	C0455769
havoc with our skins	C0037274
Dermatologic disorders	C0037274
nauseous	C0027497
Nausea	C0027497
all my limbs are jumping on their own accord	C0151911
Generalized Spasms	C0151911
in my feelings	C0235169
Excitability	C0235169
Withdrawal Symptoms	C0087169
heart attack	C0018790
Cardiac Arrest	C0018790
anxiety	C0549259
Anxiety aggravated	C0549259
withdrawal	C0087169
Withdrawal Symptoms	C0087169
tired	C0392674
Exhaustion	C0392674
asthma	C0476273
